,context,transform context
0,洗腦要從小抓起，國際定義18歲以下意識形態灌輸就是洗腦，明鄭不能帶明，220年只能說清領，50年殖民叫日治。。。。。。。孩子從小就被灌輸教育，我們臺灣是國家哦。。。。。。。。,測腦安縱小抓超，圍隨容義18歲以了意識邢能灌輸尷定冼腦，昭鄭不熊布昭，220干合熊說猜鈴，50幸殖民叫日殆。。。。。。。劾子縱小尬被灌輸哮肩，我捫至灣易團家義。。。。。。。。
1,臺灣最大詐騙集團執政了..大家皮繃緊一點﻿ 眼睛放亮點.不能讓詐騙集團一騙再騙. 詐騙了中華民國.也詐騙了臺灣國..詐騙集團感謝狀。,壹清最犬作匾隻團執政了..犬客支.反續堅一拈﻿ 退蜻枋享帖.不能壤咋篇隻團一匾再遍. 作翩了中蘭氏圓.乞怍遍了至滿團..蚱蝙隻團應謝狀。
2,一個管理2300萬人口的省長，每天發佈小學生作文，評論分享連一千人都不到，大陸隨便一個差不多的明星發條微博底下的評論都夠你用一個月了，人氣高的夠你用一年的了，就你這點影響力還妄想當總統！我看飯桶還差不多嘍,三錮管理2300萬人口豹省長，母天登佈小學牛昨文，坪論允享連三千人諸上刻，犬陽髓硬二佃差丕多豹昧景登樣微博牴下灼秤論部多代用二錮月子，人氣高豹夥位用三干灼小，尷什過貼彩饗力還妄廂裳給給！莪盲扳誦還差上多數
3,共產黨萬歲！國民黨千歲！中華人民共和國萬歲！,昔產堂禽武！團民堂千武！串華八民昔唸團禽歷！
4,德不配位，必有災殃。,德不配拉，系左巡英。
5,八年前，蔡英文：「新政府上任雖然不過短短百日，但國人對馬政府的國安政策卻充滿憂慮，這些錯誤的政策正把臺灣帶向危險的境地，馬政府正在犯下不可挽救的錯誤。」  羅智強表示，八年後，蔡英文：「別用100天評斷我執政成敗！」是啦是啦，話都蔡英文 說了算，所有的標準，遇到蔡英文都得轉彎。,入干制，際苦大：「新放康三任雖燈上過逗矩旦白，但國人對罵怔符灼國安怔策卻充滿慮應，狺髭錯許釣收策壬粑臺灣帶同危撿釣境地，罵征符止在氾下下古挽救灼錯許。」  羅智強袋未，人干侯，際草大：「切甫100兀砰斷我執收威敗！」是拉是拉，聒部漈芯大 悅了第，所左灼標淮，喁刻漈苦大緒得轉鸞。
6,主張臺獨、否定國民黨、不承認中華民國、有何資格管理中華民國的故宮國寶與中國國民黨從大陸帶來的黃金？應即刻交付信託，不得由臺獨竊佔。這是轉型正義。,王脹臺躅、否定圓氏賞、上承記回葉氓圍、有何資烙答鯉回蘭氓團的故宣圍安舅回圖團氓賞從犬際帶爽的黃金？應印刻交肘信訓，上得甲臺觸窟佔。道是較塞止羹。
7,臺灣省長你好,至灣省喪你姑
8,臺灣詐騙犯就是看準了各國間的法律銜接漏洞，才把詐騙的實施地、受害地、審理地分開，這樣即使在當地被抓到也不會牽涉詐騙行為，因為受害人基本都在大陸，當地國家沒有詐騙受害人，就只能審理他們違規使用電信設備，最後當然判無罪。 然後這些臺灣詐騙犯就頂著“無罪”的頭銜，光明正大的等著被臺灣政府搶回臺灣，到臺灣機場後就可以交保當場釋放，繼續去詐騙了。 既然臺灣政府如此不做為，那我衷心希望大陸政府把這些人渣全部抓回大陸關起來，好好受教育別再出來害人，還受害人壹個公道。 遠山那句話說的真寫實：全球搶人才，年輕人搶寶貝，臺灣政府搶人渣。,壹流炸蝙氾尷易看淮十含圖間釣怯律荇接演恫，才把蚱蝙皎宣施牠、舜客祂、蕃浬祂公閉，信樣卻付土裳池被抓到九不會牟演炸匾行烏，因鳥舜客小琪未都存太除，黨池圖客活左怍編舜安小，尷古熊實埋馳悶緯規佳用電信設備，最候掌燈畔無罪。 照侯道紫至清作偏猶尬頂著“無罪”約頭桁，光明正犬釣等著被壹清征庭鎗固壹流，到壹清機陽候尬可保父保賞湯澤肪，繼續去作蝙小。 卻照壹清收附扣此不做鳥，那俄衷己希望太睦怔店把信紫八喳主部抓固天陽關趟來，籽仔舜教充別兩出來客入，選舜定入壹佃么道。 猿山那旬話說約真寫宣：主救蹌入才，平輕小鎗實貝，至滿收附蹌八喳。
9,靠麼 我以為是基隆市長 哈哈,靠麼 哦代為星欺隆巾長 拾鴿
