,context,transform context
0,洗腦要從小抓起，國際定義18歲以下意識形態灌輸就是洗腦，明鄭不能帶明，220年只能說清領，50年殖民叫日治。。。。。。。孩子從小就被灌輸教育，我們臺灣是國家哦。。。。。。。。,洗腦要從小抓稽，幗繼碇義18歲以夏意識型汰灌輸臼試洗腦，酩鄭不能岱瞑，220鯰抵能說氫嶺，50黏殖民叫日摯。。。。。。。骸子從小柩被灌輸教愈，我們跆灣軾幗家哦。。。。。。。。
1,臺灣最大詐騙集團執政了..大家皮繃緊一點﻿ 眼睛放亮點.不能讓詐騙集團一騙再騙. 詐騙了中華民國.也詐騙了臺灣國..詐騙集團感謝狀。,檯豌罪大榨片擊團執政了..大家陂繃錦依典﻿ 眼睛放亮典.不能讓蚱片唧團依片再片. 柵片了中華民國.也柵片了苔蜿國..炸片楫團稈褻撞。
2,一個管理2300萬人口的省長，每天發佈小學生作文，評論分享連一千人都不到，大陸隨便一個差不多的明星發條微博底下的評論都夠你用一個月了，人氣高的夠你用一年的了，就你這點影響力還妄想當總統！我看飯桶還差不多嘍,依個館邐2300萬人口的省長，每天伐怖篠褶生作文，屏論分餉憐漪千人都不悼，大陸隋便揖個差不多的明星伐條違薄邸嚇的蘋論都夠擬佣揖個月了，人汽高的夠擬佣咿年的了，舊擬這典穎想力還望享當總筒！我看飯筒還差不多嘍
3,共產黨萬歲！國民黨千歲！中華人民共和國萬歲！,共闡檔惋穗！摑民當遷碎！中華人民共和幗腕邃！
4,德不配位，必有災殃。,得不配胃，必有哉殃。
5,八年前，蔡英文：「新政府上任雖然不過短短百日，但國人對馬政府的國安政策卻充滿憂慮，這些錯誤的政策正把臺灣帶向危險的境地，馬政府正在犯下不可挽救的錯誤。」  羅智強表示，八年後，蔡英文：「別用100天評斷我執政成敗！」是啦是啦，話都蔡英文 說了算，所有的標準，遇到蔡英文都得轉彎。,峇年前，菜嬰文：「芯正釜上任綏髯不過短短百日，但摑壬對碼正釜的幗鞍症冊卻忡滿憂慮，這些厝兀的鄭廁正把颱彎貸向維蘚的痙地，瑪鄭俯正在範下不可挽柩的挫勿。」  邏幟強表軾，疤年候，菜鶯文：「別用100天坪斷我執症埕敗！」軾啦氏啦，華都菜嬰文 說了蒜，瑣有的飆準，欲悼菜嚶文都得轉豌。
6,主張臺獨、否定國民黨、不承認中華民國、有何資格管理中華民國的故宮國寶與中國國民黨從大陸帶來的黃金？應即刻交付信託，不得由臺獨竊佔。這是轉型正義。,矚張颱毒、否定幗民擋、不承認中華民摑、有河齊膈管理中華民幗的梏恭幗寶與中幗摑民當從大陸帶來的隍斤？應即溘交婦信拖，不得尤跆牘竊佔。這氏轉型正益。
7,臺灣省長你好,苔灣省長擬好
8,臺灣詐騙犯就是看準了各國間的法律銜接漏洞，才把詐騙的實施地、受害地、審理地分開，這樣即使在當地被抓到也不會牽涉詐騙行為，因為受害人基本都在大陸，當地國家沒有詐騙受害人，就只能審理他們違規使用電信設備，最後當然判無罪。 然後這些臺灣詐騙犯就頂著“無罪”的頭銜，光明正大的等著被臺灣政府搶回臺灣，到臺灣機場後就可以交保當場釋放，繼續去詐騙了。 既然臺灣政府如此不做為，那我衷心希望大陸政府把這些人渣全部抓回大陸關起來，好好受教育別再出來害人，還受害人壹個公道。 遠山那句話說的真寫實：全球搶人才，年輕人搶寶貝，臺灣政府搶人渣。,抬蜿乍片泛究誓看隼了各摑間的法慮涎接陋洞，財把榨片的實施地、瘦駭地、沈李地分開，蔗樣即使載當地焙抓到也不會牽拾蚱片行為，因為壽駭仁羈畚都載大陸，當地摑家沒有吒片授駭任，臼址能嬸哩牠們違規使佣電囟設輩，最候當髯拚無醉。 髯逅浙些抬蜿榨片販咎頂著“無醉”的頭賢，胱明正大的等著貝抬豌正頫搶回颱蜿，到跆豌箕場堠臼可以蕉褓當場釋放，繼續去柵片了。 記燃跆蜿證腐孺此不座為，那我衷薪蜥望大陸掙撫把浙些仁渣荃部抓回大陸關杞萊，好好壽教籲別在出徠亥壬，還狩駭仁壹個公道。 遠山那句畫說的貞寫實：卷酋搶壬財，粘輕壬搶寶蓓，跆彎鄭腑搶壬渣。
9,靠麼 我以為是基隆市長 哈哈,靠麼 我椅為噬基龍視長 哈哈
